doc_id,topic,probability,source_file,preprocess_agenda
65,0,0.9991598725318909,Manifesto_Uniao_BRASIL_preprocess.csv,nas ultimas decadas o agro se tornou o mais pujante segmento economico brasileiro o agro faz do brasil um dos principais players do comercio internacional os ganhos de produtividade do campo brasileiro sao um ponto fora da curva uma excecao feliz e bem sucedida e um exemplo do brasil que da certo que produz agregando tecnologia a saberes seculares que se faz ao mesmo tempo com a forca dos grandes exportadores e com a forca do pequeno agricultor familiar por vezes organizado em cooperativas e o mais importante o agro brasileiro que da certo respeita e protege o meio ambiente esse brasil que produz gera e distribui riquezas e respeita o meio ambiente merece e deve ser reconhecido e estimulado
27,0,0.9989920258522034,Manifesto_Uniao_BRASIL_preprocess.csv,sobre esses pilares iniciamos a missao de resgatar o otimismo recapturar o espirito positivo e restaurar a confianca dos brasileiros na politica na democracia e no brasil para isso nossas principais ferramentas serao o dialogo a transparencia o compromisso com a palavra empenhada a excelencia na formacao de nossos quadros partidarios a prioridade do interesse coletivo e o amor pelo brasil e para darmos inicio a nossa jornada com transparencia e firmeza aqui estao os 44 principios que abracamos os compromissos que assumimos com os brasileiros 1 2 defesa intransigente da democracia que e para nos valor fundamental e inegociavel
54,0,0.9985607862472534,Manifesto_Uniao_BRASIL_preprocess.csv,o brasil nao tolera mais o convivio com indices de morte violenta piores que os de paises conflagrados por guerras nem pode mais aceitar as mortes de jovens pobres e negros sem sacrificio das liberdades fundamentais que constituem a essencia da democracia e com transparencia devemos desmontar o crime organizado atuar com inteligencia planejamento e integracao das forcas de seguranca para vencer a violencia e devolver a paz aos brasileiros
3,0,0.9985185265541077,Manifesto_Uniao_BRASIL_preprocess.csv,esse amor pelo brasil esta assentado na nossa historia comum nas lutas compartilhadas cotidianamente e na certeza de que mesmo com todas as suas mazelas e dificuldades esse pais tem um enorme potencial para a grandeza e por que nao dizer uma vocacao para a alegria e a felicidade o brasil democratico livre justo pulsante e pujante que todos nos brasileiros desejamos e evidentemente uma obra em aberto
98,0,0.9974844455718994,Manifesto_Uniao_BRASIL_preprocess.csv,sem ignorar as muitas paginas de violencia da historia brasileira sem deixar de enxergar com clareza as varias violencias que oprimem os brasileiros no presente lancemos um olhar sobre as nossas riquezas como povo sobre as nossas qualidades e belezas
62,1,0.9981158971786499,Manifesto_Uniao_BRASIL_preprocess.csv,respeito ao direito de propriedade com reconhecimento das responsabilidades sociais inerentes ao exercicio desse direito o direito de usar usufruir e dispor de um bem esta incluido entre as clausulas petreas intocaveis da nossa constituicao o uniao brasil defende este direito do cidadao com o mesmo rigor com que sustenta as demais regras garantidoras da democracia
86,1,0.9976034760475159,Manifesto_Uniao_BRASIL_preprocess.csv,estamos cansados de saber que o estado brasileiro custa muito e entrega pouco essa equacao tem produzido imenso desgaste junto aos cidadaos brasileiros que se rendem ao ceticismo e ao desencanto com o pais porque pagam muito imposto e em troca recebem servicos precarios
26,1,0.9970728158950806,Manifesto_Uniao_BRASIL_preprocess.csv,o valor do estado como garantidor dos direitos sociais basicos da populacao o valor da liberdade como condicao para a busca de realizacao individual o valor da familia como esteio da pessoa e base da sociedade
95,1,0.9969894289970398,Manifesto_Uniao_BRASIL_preprocess.csv,toda nacao deve buscar responder permanentemente a uma pergunta que pais desejamos ser entao que brasil desejamos ser e legar para as futuras geracoes para responder a essa pergunta precisamos mergulhar na nossa historia obviamente
52,1,0.9961014986038208,Manifesto_Uniao_BRASIL_preprocess.csv,19 20 garantia do direito de ir e vir da livre circulacao dos cidadaos nas cidades da paz as familias nas suas casas e nas suas vizinhancas
